MeshName,NumVertices,SMAPE_VTP,SMAPE_Trettner,SMAPE_FastMarching,SMAPE_Heat,SMAPE_Geotangle,SMAPE_Edge,SMAPE_Lanthier
bob_tri_subdiv_0.obj,5344,0.321348,37.0575,37.1341,6.59759,22.8739,23.8933,10.2294
spot_tri_subdiv_0.obj,2930,0.306788,71.0459,70.9691,4.09911,10.6491,11.8342,3.70582
blub_tri_subdiv_0.obj,7106,0.187084,84.5508,84.4935,5.86843,14.6613,16.1872,4.82842
spot_tri_subdiv_1_final.obj,11714,0.107778,71.0193,70.9963,3.25296,10.8642,12.0311,3.69282
bob_tri_subdiv_1_final.obj,21376,0.09836,37.4373,37.2247,3.93262,22.0936,23.8632,10.4578
blub_tri_subdiv_1_final.obj,28418,0.0705683,84.5431,84.5046,5.17244,14.7474,16.1635,4.87376
spot_tri_subdiv_2_final.obj,46850,0.0305471,71.0833,71.0208,3.7359,11.416,11.9887,3.67075
bob_tri_subdiv_2_final.obj,85504,0.0254117,37.4151,37.2974,2.62828,22.883,23.9389,10.609
blub_tri_subdiv_2_final.obj,113666,0.0169536,84.5429,84.522,5.56403,15.2911,16.1828,4.87153
spot_tri_subdiv_3_final.obj,187394,0.00745745,71.0739,71.0507,6.06187,11.6025,11.9689,3.64777
bob_tri_subdiv_3_final.obj,342016,0.00708325,37.4513,37.3712,3.73068,23.1717,23.956,10.6139
blub_tri_subdiv_3_final.obj,454658,0.00427914,84.5434,84.5303,9.47753,15.5651,16.183,4.86321
bob_tri_subdiv_4_final.obj,1368064,0.0015614,37.4373,37.3977,23.4052,23.3701,23.9582,10.6294
blub_tri_subdiv_4_final.obj,1818626,0.00101105,84.5385,84.5362,73.7792,15.7145,16.1772,4.87587
spot_tri_subdiv_4_final.obj,749570,0.00203486,71.0638,71.0642,42.7233,11.7029,11.9628,3.64953
blub_tri_subdiv_5_final.obj,7274498,,,,,,16.1748,
bob_tri_subdiv_5_final.obj,5472256,,,,,,23.9582,
spot_tri_subdiv_5_final.obj,2998274,,,,,,11.9513,
spot_tri_subdiv_6_final.obj,11993090,,,,,,11.9506,
